Neighbourhood,Venue Latitude,Venue Longitude,Venue,Venue Category
"Sant Pere, Santa Caterina i la Ribera",41.384776,2.179836,Can Cisa / Bar Brutal,Wine Bar
El Fort Pienc,41.393724,2.178577,Frooty Supermercado Ecológico,Farmers Market
La Derecha del Ensanche,41.39433144644542,2.169537339515499,El Racó Ecològic,Vegetarian / Vegan Restaurant
La Derecha del Ensanche,41.3945817869413,2.1696934233111564,Racó Ecologic,Vegetarian / Vegan Restaurant
L'Antiga Esquerra de l'Eixample,41.393873740934445,2.1542869014711243,BON,Salad Place
L'Antiga Esquerra de l'Eixample,41.38910614178661,2.146994993754201,Timesburg,Burger Joint
Sants-Badal,41.380022110214995,2.1340747594660714,Capità Enciam - Fruita i verdura ecològica,Fruit & Vegetable Store
La Maternitat i Sant Ramon,41.38745615317964,2.1290293592596434,Helsinki,Breakfast Spot
Sant Gervasi-Galvany,41.39669315442589,2.1427777647868567,"La Pera Limonera, Tu Colmado Ecologico",Organic Grocery
Vila de Gràcia,41.40070087583398,2.156830159214342,Forn Fortino,Bakery
Vila de Gràcia,41.407555275822794,2.1627650950034067,Lo Vencill,Farmers Market
Can Baró,41.410398,2.163807,Ecologicat,Organic Grocery
Horta,41.43062929195116,2.1641242504119873,Linverd- Supermercado Ecologico,Supermarket
San Andrés,41.43468953903033,2.1894718932668833,La Botiga Ecològica,Organic Grocery
